pt_part,pt_um,pt_prod_line,pt_part_type
208-009/1,M,EVS,RM
208-013,EA,EVS,RM
208-014,EA,EVS,RM
208-019/1,M,EVS,RM
208-020/1,M,EVS,RM
208-028,EA,EVS,RM
208-050,EA,EVS,RM
208-244,EA,EVS,RM
208-282,EA,EVS,RM
28-22-0247-00,PC,EVS,RM
28-22-0247-01,PC,EVS,RM
28-22-0247-02,PC,EVS,RM
28-22-0247-03,PC,EVS,RM
28-22-0247-04,PC,EVS,RM
28-22-0248-00,PC,EVS,RM
28-22-0248-01,PC,EVS,RM
28-22-0248-02,PC,EVS,RM
28-22-0248-03,PC,EVS,RM
28-22-0249-00,PC,EVS,RM
28-22-0249-01,PC,EVS,RM
28-22-0249-02,PC,EVS,RM
28-22-0249-03,PC,EVS,RM
28-22-0250-00,PC,EVS,RM
28-22-0250-01,PC,EVS,RM
28-22-0250-02,PC,EVS,RM
28-22-0250-03,PC,EVS,RM
28-22-0250-04,PC,EVS,RM
28-22-0251-00,PC,EVS,RM
28-22-0251-01,PC,EVS,RM
28-22-0251-02,PC,EVS,RM
28-22-0251-03,PC,EVS,RM
28-22-0252-00,PC,EVS,RM
28-22-0252-01,PC,EVS,RM
28-22-0252-02,PC,EVS,RM
28-22-0252-03,PC,EVS,RM
28-22-0253-00,PC,EVS,RM
28-22-0253-01,PC,EVS,RM
28-22-0253-02,PC,EVS,RM
28-22-0253-03,PC,EVS,RM
28-22-0253-04,PC,EVS,RM
28-22-0254-00,PC,EVS,RM
28-22-0254-01,PC,EVS,RM
28-22-0254-02,PC,EVS,RM
28-22-0254-03,PC,EVS,RM
28-22-0255-00,PC,EVS,RM
28-22-0255-01,PC,EVS,RM
28-22-0255-02,PC,EVS,RM
28-22-0255-03,PC,EVS,RM
28-22-0256-00,PC,EVS,RM
28-22-0256-01,PC,EVS,RM
28-22-0256-02,PC,EVS,RM
28-22-0257-00,PC,EVS,RM
28-22-0257-01,PC,EVS,RM
28-22-0258-00,PC,EVS,RM
28-22-0258-01,PC,EVS,RM
28-22-0258-02,PC,EVS,RM
28-22-0258-03,PC,EVS,RM
28-22-0259-00,PC,EVS,RM
28-22-0259-01,PC,EVS,RM
28-22-0259-02,PC,EVS,RM
28-22-0259-03,PC,EVS,RM
28-22-0259-04,PC,EVS,RM
28-22-0259-05,PC,EVS,RM
28-22-0259-06,PC,EVS,RM
28-22-0259-07,PC,EVS,RM
28-22-0259-08,PC,EVS,RM
28-22-0259-09,PC,EVS,RM
28-22-0259-10,PC,EVS,RM
28-22-0259-11,PC,EVS,RM
28-22-0259-12,PC,EVS,RM
28-22-0263-00,PC,EVS,RM
28-22-0263-01,PC,EVS,RM
28-22-0263-02,PC,EVS,RM
28-22-0263-03,PC,EVS,RM
28-22-0315,PC,EVS,RM
28-22-0557,PC,EVS,RM
28-22-0575-01,PC,EVS,RM
28-22-0575-02,PC,EVS,RM
28-22-0575-03,PC,EVS,RM
28-22-0575-04,PC,EVS,RM
28-22-0575-05,PC,EVS,RM
28-22-0575-06,PC,EVS,RM
28-22-0575-07,PC,EVS,RM
28-22-0575-08,PC,EVS,RM
28-22-0575-09,PC,EVS,RM
28-22-0575-10,PC,EVS,RM
28-22-0575-11,PC,EVS,RM
28-22-0575-12,PC,EVS,RM
28-22-0575-13,PC,EVS,RM
28-22-0579-01,PC,EVS,RM
28-22-0579-02,PC,EVS,RM
28-22-0579-03,PC,EVS,RM
28-22-0579-04,PC,EVS,RM
28-22-0579-05,PC,EVS,RM
28-22-0579-06,PC,EVS,RM
28-22-0579-07,PC,EVS,RM
28-22-0579-08,PC,EVS,RM
28-22-0579-09,PC,EVS,RM
28-22-0579-10,PC,EVS,RM
28-22-0579-11,PC,EVS,RM
28-22-0579-12,PC,EVS,RM
28-22-0579-13,PC,EVS,RM
28-22-0714,PC,EVS,RM
28-22-0843-01,PC,EVS,RM
28-22-0843-02,PC,EVS,RM
28-22-0843-03,PC,EVS,RM
28-22-0843-04,PC,EVS,RM
28-22-0843-05,PC,EVS,RM
